Rank,Title,URL,Date,Category,Subcategory,TagsStr,Author,Editor,Description,Thumbnail
1,"7 Superhero Street Level di MCU, Jagoan Pembasmi Kriminal Level Jalanan",https://www.idntimes.com/hype/entertainment/superhero-street-level-di-mcu-pahlawan-yang-tidak-disukai-polisi-00-sd4vv-w795ky,2026-04-05 21:08:00,Hype,Entertainment,"Marvel Cinematic Universe, Spider-Man, Daredevil, Ms. Marvel, Moon Knight, Give me Perspective, superhero marvel",Muhammad Bimo Aprilianto,Zahrotustianah,"Salah satu superhero terpopuler Marvel juga merupakan kategori street level, lho. Ada Daredevil dan Spider-Man yang saat ini sedang hapenning, ini dia daftarnya.",https://image.idntimes.com/post/20260405/upload_1f12fa07e867bb0119521f11011515f8_43f18259-5aa9-4b2a-93d1-b75c854eff18.jpg
2,"8 Meme Anime tentang Orang Asing, kok Mudah Akrab?",https://www.idntimes.com/hype/humor/meme-anime-orang-asing-c1c2-01-kn1ff-y4l7vd,2026-04-05 20:58:00,Hype,Humor,"Meme Anime, Meme, kumpulan meme, meme kocak, Divert me",Syaifur Rizal,Debby Utomo,"Apa jadinya kalau orang asing malah disulap jadi meme? Telah dibuat meme anime tentang orang asing yang punya konteks beragam di artikel ini. Cek, yuk!",https://image.idntimes.com/post/20260403/2_3a987f25-aa61-4515-bb3d-5c8db8a85d28.jpg
3,"5 dari 6 Film Lebaran 2026 Tembus 1 Juta Penonton, Siapa Tercepat?",https://www.idntimes.com/hype/entertainment/berapa-hari-yang-dibutuhkan-film-lebaran-2026-tembus-1-juta-penonton-00-syg99-kj3yjq,2026-04-05 20:38:00,Hype,Entertainment,"film lebaran, Jumbo, Na Willa, Lebaran 2026, danur, Give me Perspective, Pelangi di Mars, Tunggu Aku Sukses Nanti, Suzzanna",Rani Asnurida,Zahrotustianah,"Berapa sih waktu yang dibutuhkan oleh film Lebaran 2026 untuk meraih 1 juta penonton? Jika dibandingkan dengan tahun lalu, apakah capaian tahun ini lebih impresif?",https://image.idntimes.com/post/20260404/upload_0069fef4ab1a94dc2a2993071a959661_53f25e73-ae68-4051-ad60-443dd948b6f0.jpeg
4,5 Film Biopik Musik Terbaik Sepanjang Masa Versi Rotten Tomatoes,https://www.idntimes.com/hype/entertainment/film-biopik-musik-terbaik-c1c2-01-9qn7y-3jsqp2,2026-04-05 20:28:00,Hype,Entertainment,"Rekomendasi Film, Film, film biopik, Rotten Tomatoes, Divert me",Emma Kaes,Debby Utomo,Berikut lima film biopik musik terbaik sepanjang masa yang mendapat penilaian tinggi dari para kritikus.,https://image.idntimes.com/post/20260403/img_4076_7201a7ab-0630-4906-89e3-27b7c662c5fb.jpeg
5,"Susul Film Lebaran Lain, Senin Harga Naik juga Capai 1 Juta Penonton",https://www.idntimes.com/hype/entertainment/film-senin-harga-naik-tembus-1-juta-penonton-00-sd4vv-gdm1bf,2026-04-05 20:26:10,Hype,Entertainment,"Film Indonesia, Update me, Box Office",Muhammad Bimo Aprilianto,Zahrotustianah,"Angka jumlah penonton ini masih akan terus bertambah, karena film Senin Harga Naik masih terus diputar di bioskop.",https://image.idntimes.com/post/20260405/upload_312303d9aa036c50b3a10d76ec93aca2_15b5d5c1-389a-4b0c-a6dd-8dd9df5c9bb4.jpg
6,[REVIEW] Jujutsu Kaisen Season 3—Battle Royale Penyihir Terkuat,https://www.idntimes.com/hype/entertainment/review-jujutsu-kaisen-season-3-c1c2-01-gjjrz-t07pb3,2026-04-05 20:04:00,Hype,Entertainment,"review anime, jujutsu kaisen, Anime, Battle royale, Serial TV",Mito Rudito,Yudha ‎,"Musim ketiga memiliki tema yang berbeda dari musim kedua sebab berfokus pada pertarungan antar-Penyihir Jujutsu. Lantas, apa yang baru dari musim ketiga?",https://image.idntimes.com/post/20260403/new_2de385fb-9f82-4a05-afab-749dcd7378a2.png
7,"5 Film Barat Era 80-an Bertema Isekai, Gak Kalah dari Anime!",https://www.idntimes.com/hype/entertainment/film-barat-era-80-an-bertema-isekai-c1c2-01-16rp7-k3hxlk,2026-04-05 19:39:00,Hype,Entertainment,"Film, film barat, Isekai, 80an, Rekomendasi Film",Satria Wibawa,Diana Hasna,"Lima film Barat era 80-an bertema isekai menampilkan kisah terjebak di dunia lain dengan imajinasi tinggi, dari Tron hingga The NeverEnding Story.",https://image.idntimes.com/post/20260404/59122_d22fb053-7c77-400c-a2f7-a19865bda868.jpg
8,"7 First Look My Dearest Assassin, Intens dan Gelap!",https://www.idntimes.com/hype/entertainment/first-look-my-dearest-assassin-c1c2-01-rq74s-b63mdt,2026-04-05 18:39:00,Hype,Entertainment,"Baifern Pimchanok, tor thanapob, Film, Film Thailand, Netflix",Nawa M,Diana Hasna,"Netflix Thailand merilis first look My Dearest Assassin, film action-romance yang dibintangi Tor Thanapob dan Baifern Pimchanok, tayang 7 Mei 2026.",https://image.idntimes.com/post/20260403/1000498446_9c3a6216-6052-46fd-aa67-fdc99cb9a6ba.jpg
9,"8 Meme Kartun tentang Cokelat, Ikan Legendaris SpongeBob Muncul",https://www.idntimes.com/hype/humor/meme-kartun-tentang-cokelat-c1c2-01-kn1ff-9x7fy8,2026-04-05 18:21:00,Hype,Humor,"Divert me, Meme, meme kartun, Cokelat",Syaifur Rizal,Hella Pristiwa,Kumpulan meme kartun tentang cokelat yang tampilkan ikan legendaris dari seri SpongeBob dan berbagai situasi lucu seputar kegemaran pada cokelat.,https://image.idntimes.com/post/20260331/page_d79547c1-7ca8-4cb3-a965-496b859527de.jpg
10,6 Film Horor Singapura di Netflix yang Seram dan Kelam,https://www.idntimes.com/hype/entertainment/film-horor-singapura-di-netflix-c1c2-01-bwv33-zf5g50,2026-04-05 18:20:00,Hype,Entertainment,"rekomendasi film horor, Film Horor, Film Horor Asia, singapura, film horor netflix",Aryna Meliana,Naufal Al Rahman,"Enam film horor Singapura di Netflix menghadirkan kisah seram dengan nuansa budaya dan modernitas, mulai dari makhluk mistis hingga legenda Pontianak.",https://image.idntimes.com/post/20260212/orang-ikan_2fcbd5cf-0379-4a68-b9aa-cc44dd0f2331.jpg
